"collection"	"corpus"	"child"	"sex"	"age"	"transcript_id"	"utterance"	"words"	"id"
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"shut the xxx"	3	10079
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"maybe you'll try and xxx glass xxx"	8	10080
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"probably does talk"	3	10081
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"xxx"	1	10082
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"he's probably a person except he's invisible"	9	10083
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"xxx"	1	10084
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"yeah"	1	10085
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"when he's four xxx"	5	10086
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"mhm"	1	10087
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10088
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"now let's see how much it is"	8	10089
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"and here's the hat will pay"	7	10090
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"when he's about my age"	6	10091
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"Twww"	1	10092
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"oh"	1	10093
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"Jwww"	1	10094
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"maybe"	1	10095
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"is here"	2	10096
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"than I can get my baby"	6	10097
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"maybe he could invisible over here"	6	10098
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"here"	1	10099
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"it is"	2	10100
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10101
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"hm"	1	10102
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"xxx"	1	10103
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"invisible"	1	10104
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"xxx you"	2	10105
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"look it"	2	10106
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"maybe xxx invisible"	3	10107
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"here"	1	10108
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"good boy good boy"	4	10109
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"xxx little bit more"	4	10110
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"xxx"	1	10111
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"he might be good"	4	10112
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"we have to walk Twww"	5	10113
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"yeah"	1	10114
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"there"	1	10115
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"xxx"	1	10116
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"maybe he walked along in our room"	7	10117
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"I hold that up when Twww wanted to go in"	10	10118
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10119
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"and he went in to a snow house"	8	10120
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"what is that"	3	10121
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"because it doesn't have enough xxx"	7	10122
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10123
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7502	"that's the driver's side"	6	10124
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"Zeren"	1	10125
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"xxx"	1	10126
"Eng-NA"	"Braunwald"	"Laura"	"female"	58	7545	"it's soap"	3	10127
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"had enough"	2	10128
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"xxx"	1	10129
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"had enough"	2	10130
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"this is my"	3	10131
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"and you can smell him in yours"	7	10132
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"because it's taller"	4	10133
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"and how make it fly"	5	10134
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"but no don't go there"	6	10135
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"we had enough"	3	10136
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"xxx"	1	10137
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"no"	1	10138
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"xxx"	1	10139
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"this to dry"	3	10140
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"no"	1	10141
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"one little guy is fast asleep"	6	10142
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"me"	1	10143
"Eng-NA"	"Braunwald"	"Laura"	"female"	41.9	7501	"this is this good xxx"	5	10144
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"Julian"	1	10145
"Eng-NA"	"Braunwald"	"Laura"	"female"	76.6	7547	"this is xxx"	3	10146
"Eng-NA"	"Braunwald"	"Laura"	"female"	55.6	7542	"xxx I could love you"	5	10147
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"Julian"	1	10148
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"xxx"	1	10149
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7507	"Julian"	1	10150
"Eng-NA"	"Braunwald"	"Laura"	"female"	42.6	7505	"Sean said alright"	3	10151
"Eng-NA"	"Braunwald"	"Laura"	"female"	51.4	7535	"no we"	2	10152
